,position,country,name,club,boots,age,height,ACL
2925,Midfielder,Ireland,Conor Noß,,adidas X Crazyfast Elite,23,181,0
2926,Midfielder,Ireland,Conor Shaughnessy,,adidas X 19.1,28,191,0
2927,Defender,England,Conor Townsend,,Nike Phantom Luna 2 Elite,31,183,0
2928,Forward,Northern Ireland,Conor Washington,,,32,178,0
2929,Forward,Denmark,Conrad Harder,Sporting CP,,19,181,0
2930,Goalkeeper,Ireland,Conrad Logan,,Nike Tiempo Legend 10 Elite,38,188,0
2931,Defender,Côte d'Ivoire,Constant Djakpa,,Puma Ultra 1.1,37,177,0
2932,Goalkeeper,Germany,Constantin Frommann,,adidas Predator Elite LL,26,185,0
2933,Defender,Romania,Constantin Nica,,Nike Mercurial Superfly 9 Elite,31,185,0
2934,Midfielder,Cyprus,Constantinos Charalambidis,,Nike Mercurial Vapor 15 Elite,43,172,0
2935,Defender,Belgium,Corentin Fiore,,,29,183,0
2936,Forward,France,Corentin Jean,,Nike Mercurial Vapor XIII Elite,29,170,0
2937,Goalkeeper,Belgium,Corentin Michel,ESTAC Troyes,,24,187,0
2938,Goalkeeper,France,Corentin Schmittheissler,,,27,170,0
2939,Midfielder,France,Corentin Tolisso,Olympique Lyonnais,Nike Phantom GX 2 Elite,30,181,1
2940,Midfielder,Spain,Corona,,,43,175,0
2941,Midfielder,Northern Ireland,Corry Evans,,,34,180,0
2942,Defender,Senegal,Cory Sène,FC Viktoria Plzeň,,23,196,0
2943,Forward,Italy,Cosimo Chiricò,,,32,169,0
2944,Defender,Romania,Cosmin Moti,,Nike Tiempo Legend 10 Elite,39,183,0
2945,Midfielder,Italy,Costantino Favasuli,,,20,178,0
2946,Goalkeeper,Romania,Costel Pantilimon,,adidas X 16.1 Leather,37,202,0
2947,Defender,Portugal,Costinha,Olympiacos Piraeus,Puma Ultra Ultimate,24,181,0
2948,Defender,Spain,Cote,Real Sporting de Gijón,Nike Mercurial Vapor 15 Elite,35,182,0
2949,Forward,Morocco,Couhaib Driouech,PSV Eindhoven,Puma Ultra Ultimate,22,175,0
2950,Forward,England,Courtney Baker-Richardson,,,28,185,0
2951,Forward,Wales,Craig Bellamy,,Warrior Superheat,45,175,1
2952,Defender,Northern Ireland,Craig Cathcart,,Nike Phantom GX 2 Elite,35,189,0
2953,Defender,England,Craig Dawson,Wolves,adidas Copa Pure 2 Elite,34,188,0
2954,Midfielder,England,Craig Gardner,,Nike Magista Opus II Elite,37,178,0
2955,Forward,Australia,Craig Goodwin,,Nike Mercurial Vapor 14 Elite,32,183,0
2956,Midfielder,England,Craig Noone,,adidas X Crazyfast Elite,36,177,0
2957,Defender,Spain,Cristhian Mosquera,Valencia CF,Nike Phantom GX 2 Elite,20,191,0
2958,Forward,Uruguay,Cristhian Stuani,Girona FC,Puma Future 7 Ultimate,37,184,0
2959,Goalkeeper,Argentina,Cristian Álvarez,,Nike Tiempo Legend 10 Elite,38,186,0
2960,Defender,Argentina,Cristian Ansaldi,,adidas Nemeziz.1,37,181,0
2961,Midfielder,Italy,Cristian Battocchio,,Puma Future 7 Ultimate,32,177,0
2962,Midfielder,Peru,Cristian Benavente,,Nike Tiempo Legend 10 Elite,30,172,0
2963,Goalkeeper,Colombia,Cristian Bonilla,,adidas X 15.1,31,189,0
2964,Defender,Colombia,Cristián Borja,,Nike Mercurial Superfly 9 Elite,31,179,0
2965,Forward,Italy,Cristian Bunino,,,28,186,0
2966,Forward,Italy,Cristian Buonaiuto,US Cremonese,Nike Mercurial Vapor 15 Elite,31,179,0
2967,Forward,Italy,Cristian Carletti,,,28,185,0
2968,Midfielder,Venezuela,Cristian Cásseres Jr.,Toulouse FC,adidas Predator Elite,24,176,0
2969,Defender,Italy,Cristian Cerretti,,,23,189,0
2970,Defender,Chile,Cristian Cuevas,,Nike Mercurial Vapor 15 Elite,29,175,0
2971,Defender,Italy,Cristian Dell'Orco,,adidas Copa 20.1,30,183,0
2972,Midfielder,Argentina,Cristian Espinoza,,adidas Predator Elite,29,172,0
2973,Defender,Costa Rica,Cristian Gamboa,VfL Bochum,Nike Mercurial Superfly 9 Elite,34,175,0
2974,Defender,Romania,Cristian Ganea,,Nike Mercurial Vapor 15 Elite,32,176,0
2975,Defender,Spain,Cristian Glauder,Cádiz CF,,28,184,0
2976,Forward,Spain,Cristian Herrera,Deportivo de La Coruña,Nike Mercurial Superfly 9 Elite,33,182,0
2977,Goalkeeper,Albania,Cristian Jashari,,,18,184,0
2978,Midfielder,Italy,Cristian Ledesma,,adidas Predator Elite,41,180,0
2979,Defender,Argentina,Cristian Lema,,,33,190,0
2980,Midfielder,Spain,Cristian Lobato,,Nike Phantom GX 2 Elite,35,174,0
2981,Forward,Spain,Cristian López,,,35,185,0
2982,Defender,Romania,Cristian Manea,,Nike Mercurial Vapor IX,27,183,0
2983,Midfielder,Saudi Arabia,Cristian Martínez,,,34,170,0
2984,Defender,Italy,Cristian Molinaro,,Nike Tiempo Legend VII Elite,41,182,0
2985,Forward,Uruguay,Cristian Olivera,,,22,172,0
2986,Forward,Italy,Cristian Pasquato,,,35,173,0
2987,Forward,Argentina,Cristian Pavón,,adidas Copa 20.1,28,174,0
2988,Forward,Ecuador,Cristian Penilla,,,33,174,0
2989,Midfielder,Spain,Cristian Portu,,adidas Predator Elite,32,170,0
2990,Midfielder,Italy,Cristian Raimondi,,Puma Ultra 1.1,43,182,0
2991,Defender,Ecuador,Cristian Ramírez,Ferencváros TC,Nike Mercurial Vapor 15 Elite,30,172,0
2992,Goalkeeper,Spain,Cristian Rivero,,adidas X Crazyfast Elite,26,188,0
2993,Forward,Uruguay,Cristian Rodríguez,,Puma Future 7 Ultimate,38,178,0
2994,Midfielder,United States,Cristian Roldán,,adidas X Crazyfast Elite,29,173,0
2995,Defender,Argentina,Cristian Romero,Tottenham Hotspur,adidas Predator Elite,26,185,0
2996,Midfielder,Spain,Cristian Salvador,Elche CF,,29,184,0
2997,Defender,Romania,Cristian Săpunaru,,Nike Mercurial Superfly 9 Elite,40,187,0
2998,Forward,Spain,Cristian Tello,,adidas Nemeziz.1,33,178,0
2999,Defender,Colombia,Cristian Tovar,,,26,185,0
3000,Midfielder,Italy,Cristian Volpato,US Sassuolo,adidas X Crazyfast+,20,187,0
3001,Defender,Italy,Cristian Zaccardo,,Nike Phantom GX 2 Elite,42,184,0
3002,Defender,Colombia,Cristián Zapata,,adidas Predator 20.1,37,187,0
3003,Defender,Brazil,Cristiano,,Nike Phantom GT Elite,31,180,0
3004,Defender,Italy,Cristiano Biraghi,ACF Fiorentina,adidas X Crazyfast Elite,32,185,0
3005,Defender,Italy,Cristiano Del Grosso,,adidas Predator Elite,41,175,0
3006,Forward,Italy,Cristiano Lombardi,,adidas Nemeziz.1,29,180,0
3007,Defender,Italy,Cristiano Piccini,,adidas Copa Pure 2 Elite,31,189,0
3008,Forward,Portugal,Cristiano Ronaldo,,Nike Mercurial Superfly 10 Elite,39,187,0
3009,Forward,Spain,Cristo González,,adidas Nemeziz.1,26,178,0
3010,Forward,Chile,Cristóbal Jorquera,,adidas X Crazyfast Elite,36,173,0
3011,Goalkeeper,Chile,Cristopher Toselli,,Puma Ultra 1.1,36,180,0
3012,Forward,Netherlands,Crysencio Summerville,West Ham United,Nike Mercurial Superfly VII Elite,22,174,0
3013,Forward,Colombia,Cucho Hernández,,Nike Mercurial Superfly 9 Elite,25,176,0
3014,Defender,Curaçao,Cuco Martina,,Nike Mercurial Superfly 9 Elite,34,185,0
3015,Forward,Spain,Curro Sánchez,,Nike Mercurial Superfly 9 Elite,28,176,0
3016,Defender,England,Curtis Davies,,adidas Predator Elite,39,188,0
3017,Defender,Australia,Curtis Good,,adidas Predator Elite,31,187,0
3018,Midfielder,England,Curtis Jones,Liverpool,adidas F50 Elite,23,185,0
3019,Defender,England,Curtis Obeng,,Nike Mercurial Superfly 9 Elite,35,173,0
3020,Midfielder,Japan,Cy Goddard,,Nike Mercurial Vapor XI Elite,27,178,0
3021,Forward,Eritrea,Cyle Larin,RCD Mallorca,adidas X Crazyfast Elite,29,188,0
3022,Forward,Nigeria,Cyriel Dessers,Rangers FC,Puma Future 7 Ultimate,29,185,0
3023,Goalkeeper,France,Cyril Fogacci,Gazélec Ajaccio,,27,183,0
3024,Forward,Belgium,Cyril Ngonge,SSC Napoli,adidas F50 Elite LL,24,180,0
3025,Forward,France,Cyril Théreau,,Nike Mercurial Vapor 15 Elite,41,189,0
3026,Forward,Germany,Cyrill Akono,,Puma Future 6.1 Netfit,24,190,0
3027,Forward,Burkina Faso,Cyrille Bayala,FC Sheriff Tiraspol,adidas X Speedportal.1,28,181,0
3028,Defender,Ireland,Cyrus Christie,,Nike Phantom GX 2 Elite,31,188,0
3029,Defender,Belgium,Daam Foulon,,Nike Mercurial Vapor 14 Elite,25,180,0
3030,Defender,Belgium,Daan Dierckx,,Puma Future 7 Ultimate,21,192,0
3031,Midfielder,Belgium,Daan Heymans,,adidas X Crazyfast Elite,25,193,0
3032,Defender,England,Dael Fry,Middlesbrough FC,Nike Tiempo Legend 10 Elite,27,190,0
3033,Midfielder,Japan,Daichi Kamada,Crystal Palace,Nike Phantom GX 2 Elite,28,184,0
3034,Midfielder,Japan,Daigo Kobayashi,,Nike Tiempo Legend 10 Elite,41,178,0
3035,Defender,Japan,Daiki Hashioka,Luton Town,Nike Mercurial Vapor 15 Elite,25,184,0
3036,Forward,Cape Verde,Dailon Rocha Livramento,Hellas Verona,,23,185,0
3037,Forward,-,Daishawn Redan,,Nike Mercurial Superfly 9 Elite,23,176,0
3038,Forward,Japan,Daizen Maeda,Celtic FC,Nike Mercurial Vapor 16 Elite,26,173,0
3039,Defender,Brazil,Dalbert,,adidas X Crazyfast Elite LL,30,181,0
3040,Midfielder,Guinea-bissau,Dálcio,Red Star Belgrade,,28,186,0
3041,Goalkeeper,Bermuda,Dale Eve,,adidas Predator Elite,29,194,0
3042,Midfielder,England,Dale Stephens,,adidas Predator Elite,35,185,0
3043,Midfielder,Russia,Daler Kuzyaev,Le Havre AC,Nike Mercurial Vapor 14 Elite,31,182,0
3044,Defender,Netherlands,Daley Blind,Girona FC,adidas Predator Elite FT,34,180,0
3045,Defender,Netherlands,Daley Sinkgraven,UD Las Palmas,Nike Mercurial Vapor 15 Elite,29,179,0
3046,Defender,-,Dalibor Vecerka,,,21,185,0
3047,Defender,Italy,Dalibor Veselinovic,,,24,182,0
3048,Defender,Jamaica,Damano Solomon,,,34,181,0
3049,Forward,United States,DaMarcus Beasley,,Nike Mercurial Superfly 9 Elite,42,173,0
3050,Forward,Senegal,Dame N'Doye,,Nike Mercurial Superfly 9 Elite,39,186,0
3051,Defender,Spain,Damiá,,Mizuno Wave Ignitus,42,188,0
3052,Forward,Poland,Damian Kadzior,,Nike Mercurial Vapor 15 Elite,32,175,0
3053,Goalkeeper,Argentina,Damián Martínez,,Puma evoPOWER,32,193,0
3054,Midfielder,Argentina,Damián Musto,,,37,182,0
3055,Forward,Chile,Damián Pizarro,Udinese Calcio,,19,187,0
3056,Midfielder,Spain,Damián Rodríguez,RC Celtic of Vigo,,21,180,0
3057,Defender,Germany,Damian Roßbach,,adidas Predator LZ,31,188,0
3058,Defender,Uruguay,Damián Suárez,,adidas X Crazyfast+,36,173,0
3059,Midfielder,Poland,Damian Szymanski,AEK Athens,adidas F50 Elite,29,185,0
3060,Defender,Netherlands,Damian van Bruggen,,,28,184,0
3061,Midfielder,Eritrea,Damiano Pecile,,Nike Mercurial Vapor XIII Elite,22,179,0
3062,Defender,Italy,Damiano Zanon,,adidas Predator LZ,41,177,0
3063,Defender,France,Damien Da Silva,Clermont Foot 63,Nike Tiempo Legend 10 Elite,36,184,0
3064,Defender,Ireland,Damien Delaney,,adidas X Crazyfast Elite LL,43,191,0
3065,Midfielder,Ireland,Damien Duff,,Nike Phantom GX 2 Elite,45,177,0
3066,Goalkeeper,France,Damien Dumont,,,24,178,0
3067,Midfielder,France,Damien Le Tallec,,adidas Copa Pure 2 Elite,34,187,0
3068,Midfielder,France,Damien Marcq,,,35,181,0
3069,Goalkeeper,France,Damien Perquis,,Nike CTR360 Maestri,38,184,0
3070,Defender,Poland,Damien Perquis,,Nike Tiempo Legend 10 Elite,40,184,0
3071,Defender,Netherlands,Damil Dankerlui,,,28,172,0
3072,Forward,Germany,Damion Downs,1. FC Köln,Nike Phantom GX Elite DF,20,192,0
3073,Forward,Colombia,Damir Ceter,,Nike Phantom GT Elite,26,187,0
3074,Midfielder,Bosnia and Herzegovina,Damir Vrančić,,adidas Predator Elite,38,184,0
3075,Midfielder,Slovenia,Damjan Bohar,,adidas F50 Adizero,32,172,0
3076,Defender,Serbia,Damjan Danicic,,,24,186,0
3077,Defender,Slovenia,Damjan Marjanovic,,,28,175,0
3078,Goalkeeper,-,Damjan Siskovski,,adidas Predator 20.1,29,193,0
3079,Defender,Slovenia,Damjan Vuklišević,,Nike Phantom GX 2 Elite,29,193,0
3080,Goalkeeper,Bulgaria,Damyan Hristov,PFC Ludogorets Razgrad,,21,188,0
3081,Midfielder,England,Dan Barlaser,Middlesbrough FC,adidas Copa Pure 2 Elite KT,27,184,0
3082,Defender,England,Dan Burn,Newcastle United,Nike Phantom GX 2 Elite,32,201,0
3083,Defender,United States,Dan Gargan,,Nike Magista Opus,41,180,0
3084,Midfielder,England,Dan Gosling,,Nike Phantom VNM Elite,34,180,0
3085,Goalkeeper,United States,Dan Kennedy,,,42,186,0
3086,Goalkeeper,England,Dan Langley,,adidas Predator 20.1,23,197,0
3087,Forward,Switzerland,Dan Ndoye,Bologna FC 1909,Nike Mercurial Vapor XII Elite,23,184,0
3088,Forward,England,Dan Nlundulu,,,25,185,0
3089,Defender,England,Dan Potts,,Nike Mercurial Vapor 15 Elite,30,183,0
3090,Defender,England,Dan Potts,,adidas Predator Elite,30,172,0
3091,Forward,Moldova,Dan-Angelo Botan,FC Sheriff Tiraspol,,19,167,0
3092,Defender,France,Dan-Axel Zagadou,VfB Stuttgart,Nike Phantom GX 2 Elite,25,196,0
3093,Defender,Scotland,Dane Murray,,Nike Tiempo Legend 9 Elite,21,193,0
3094,Midfielder,Cameroon,Danel Dongmo,,,23,182,0
3095,Forward,Luxembourg,Danel Sinani,,adidas Predator Elite,27,185,0
3096,Forward,Burkina Faso,Dango Ouattara,Bournemouth,adidas F50 Elite,22,177,0
3097,Forward,Spain,Dani Abalo,,Nike Mercurial Vapor 15 Elite,36,178,0
3098,Defender,Brazil,Dani Alves,,adidas X Speedportal+,41,172,0
3099,Midfielder,Spain,Dani Benítez,,Nike Mercurial Superfly 9 Elite,37,181,0
3100,Defender,Spain,Dani Calvo,,adidas X 19+,30,193,0
3101,Goalkeeper,Spain,Dani Cárdenas,Rayo Vallecano,Puma Ultra Ultimate,27,186,0
3102,Defender,Spain,Dani Castellano,,Nike Magista Opus II Elite,36,179,0
3103,Midfielder,Spain,Dani Ceballos,Real Madrid,Nike Phantom Luna 2 Elite,28,179,0
3104,Midfielder,Netherlands,Dani de Wit,VfL Bochum,adidas Nemeziz.1,26,184,0
3105,Forward,Spain,Dani Escriche,,Nike Mercurial Vapor 15 Elite,26,178,0
3106,Defender,Spain,Dani Estrada,,adidas Predator Elite,37,179,0
3107,Midfielder,Spain,Dani García,Olympiacos Piraeus,adidas Predator Elite,34,180,0
3108,Forward,Spain,Dani Gómez,Valencia CF,Nike Mercurial Vapor 15 Elite,26,178,0
3109,Goalkeeper,Venezuela,Dani Hernández,,Nike Tiempo Legend 10 Elite,38,197,0
3110,Forward,Spain,Dani Iglesias,,,29,173,0
3111,Goalkeeper,Spain,Dani Lorenzo,,,31,180,0
3112,Goalkeeper,Spain,Dani Martín,,adidas Predator Elite,26,187,0
3113,Forward,Spain,Dani Nieto,,adidas X Crazyfast Elite,33,173,0
3114,Forward,Spain,Dani Ojeda,,,29,178,0
3115,Midfielder,Spain,Dani Olmo,FC Barcelona,adidas F50 Elite,26,179,0
3116,Forward,Spain,Dani Pacheco,,adidas 11pro,33,169,0
3117,Midfielder,Spain,Dani Parejo,Villarreal CF,adidas Copa Pure 2 Elite,35,182,0
3118,Defender,Spain,Dani Pinillos,,,31,183,0
3119,Midfielder,Spain,Dani Quintana,,,37,173,0
3120,Forward,Spain,Dani Raba,CD Leganés,Nike Phantom GX Elite,28,185,0
3121,Midfielder,Spain,Dani Rodríguez,RCD Mallorca,Puma Future 7 Ultimate,36,178,0
3122,Forward,Germany,Dani Schahin,,adidas X Crazyfast Elite,35,187,0
3123,Midfielder,Portugal,Dani Silva,Hellas Verona,Puma Future 7 Ultimate,24,180,0
3124,Goalkeeper,Spain,Dani Sotres,,,31,185,0
3125,Goalkeeper,Netherlands,Dani van den Heuvel,Club Brugge,,21,188,0
3126,Defender,Spain,Dani Vivian,Athletic Club,adidas Copa Pure 2 Elite,25,184,0
3127,Midfielder,England,Daniel Adshead,,adidas X Crazyfast Elite,23,179,0
3128,Forward,Ghana,Daniel Afriyie,,Puma Ultra Ultimate,23,165,0
3129,Defender,Denmark,Daniel Agger,,adidas Predator Elite,39,191,0
3130,Goalkeeper,Nigeria,Daniel Akpeyi,,Nike Magista Opus II Elite,38,186,0
3131,Defender,Ghana,Daniel Amartey,Beşiktaş JK,adidas Copa 20.1,29,186,0
3132,Goalkeeper,Spain,Daniel Aranzubia,,adidas Predator Elite,44,186,0
3133,Forward,Australia,Daniel Arzani,,Nike Mercurial Superfly 9 Elite,25,175,0
3134,Midfielder,-,Daniel Avramovski,,Nike Mercurial Vapor 14 Elite,29,184,0
3135,Defender,Spain,Daniel Ayala,,Nike Magista Opus,33,191,0
3136,Goalkeeper,Austria,Daniel Bachmann,Watford,Puma Ultra Ultimate,30,191,0
3137,Midfielder,Germany,Daniel Baier,,Nike Hypervenom,40,175,0
3138,Goalkeeper,Wales,Daniel Barden,,Puma Future 7 Ultimate,22,195,0
3139,Midfielder,England,Daniel Batty,,adidas Nemeziz 18.1,26,178,0
3140,Goalkeeper,Germany,Daniel Batz,1. FSV Mainz 05,adidas X Crazyfast Elite,33,191,0
3141,Goalkeeper,Germany,Daniel Batz,,adidas Predator Elite,33,190,0
3142,Goalkeeper,England,Daniel Bentley,Wolves,Nike Tiempo Legend 10 Elite,31,193,0
3143,Midfielder,Italy,Daniel Bessa,,Nike Mercurial Vapor 14 Elite,31,178,0
3144,Midfielder,Italy,Daniel Bezziccheri,,,26,183,0
3145,Forward,Hungary,Dániel Böde,,Nike Tiempo Legend 10 Elite,37,190,0
3146,Midfielder,Italy,Daniel Boloca,US Sassuolo,Nike Phantom GT2 Elite,25,185,0
3147,Midfielder,Portugal,Daniel Bragança,Sporting CP,adidas Predator Elite LL,25,178,0
3148,Defender,Germany,Daniel Brosinski,,Puma Ultra Ultimate,36,178,0
3149,Midfielder,Germany,Daniel Brückner,,Nike Phantom GX 2 Elite,43,183,0
3150,Forward,Italy,Daniel Caligiuri,,Nike Phantom VNM Elite,36,182,0
3151,Goalkeeper,Costa Rica,Daniel Cambronero,,adidas X Crazyfast Elite,38,180,0
3152,Midfielder,Portugal,Daniel Candeias,,,36,177,0
3153,Defender,Portugal,Daniel Carriço,,adidas Predator Elite,36,183,0
3154,Defender,Spain,Daniel Carvajal,Real Madrid,Puma Future 7 Ultimate,32,173,0
3155,Defender,Costa Rica,Daniel Chacón,,adidas Copa Pure 2 Elite,23,183,0
3156,Forward,Nigeria,Daniel Chima Chukwu,,,33,180,0
3157,Forward,Italy,Daniel Ciofani,,adidas X Crazyfast Elite,39,191,0
3158,Midfielder,Costa Rica,Daniel Colindres,,Nike Magista Opus II Elite,39,180,0
3159,Defender,France,Daniel Congré,,Nike Tiempo Legend 10 Elite,39,185,0
3160,Goalkeeper,Iran,Daniel Davari,,Nike CTR360 Maestri,36,192,0
3161,Defender,Italy,Daniel Di Nicola,,,28,185,0
3162,Midfielder,Germany,Daniel Didavi,,Nike Tiempo Legend 9 Elite,34,180,0
3163,Defender,Italy,Daniel Frey,,,22,175,0
3164,Goalkeeper,Brazil,Daniel Fuzato,SD Eibar,adidas Predator Elite,27,190,0
3165,Midfielder,Hungary,Dániel Gazdag,,Puma Ultra Ultimate,28,178,0
3166,Forward,Hungary,Dániel Gera,,,29,178,0
3167,Goalkeeper,Spain,Daniel Giménez,,Puma Future 7 Ultimate,41,182,0
3168,Forward,Germany,Daniel Ginczek,,adidas Nemeziz.1,33,191,0
3169,Forward,Iceland,Daníel Gudjohnsen,Malmö FF,,18,190,0
3170,Midfielder,Denmark,Daniel Haarbo,,,21,181,0
3171,Midfielder,Germany,Daniel Halfar,,Nike Mercurial Vapor 15 Elite,36,173,0
3172,Goalkeeper,Portugal,Daniel Heuer Fernandes,Hamburger SV,adidas Predator Elite,31,188,0
3173,Defender,Denmark,Daniel Höegh,,Nike Tiempo Legend VII Elite,33,190,0
3174,Forward,Denmark,Daniel Holm,,,29,180,0
3175,Goalkeeper,Denmark,Daniel Iversen,Leicester City,adidas Predator Accuracy.1,27,191,0
3176,Forward,Wales,Daniel James,Leeds United,adidas X Crazyfast Elite LL,26,171,0
3177,Forward,Eritrea,Daniel Jebbison,Watford,adidas X Ghosted.1,21,190,0
3178,Midfielder,England,Daniel Johnson,,adidas X Crazyfast Elite,31,174,0
3179,Goalkeeper,Germany,Daniel Klein,FC Augsburg,,23,191,0
3180,Midfielder,Ghana,Daniel Kofi Agyei,,,32,178,0
3181,Midfielder,Czech Republic,Daniel Kolar,,Nike Mercurial Superfly 9 Elite,38,180,0
3182,Forward,Sweden,Daniel Larsson,,Nike Mercurial Superfly 9 Elite,37,176,0
3183,Goalkeeper,Germany,Daniel Lück,,Nike CTR360 Maestri,33,189,0
3184,Midfielder,Colombia,Daniel Luna,,,21,178,0
3185,Midfielder,Italy,Daniel Maldini,AC Monza,adidas X Crazyfast+,22,188,0
3186,Forward,Argentina,Daniel Mancini,Panathinaikos Athens,adidas X Crazyfast Elite LL,27,172,0
3187,Forward,Colombia,Daniel Mosquera,Hellas Verona,Nike Mercurial Vapor 15 Elite,24,180,0
3188,Defender,Colombia,Daniel Muñoz,Crystal Palace,Nike Mercurial Vapor 15 Elite,28,181,0
3189,Goalkeeper,Bulgaria,Daniel Naumov,,,26,191,0
3190,Midfielder,Cameroon,Daniel Ndi,,Nike Mercurial Superfly 9 Elite,34,178,0
3191,Defender,Denmark,Daniel Nielsen,,,29,184,0
3192,Defender,Finland,Daniel O'Shaughnessy,,adidas X 19.1,29,190,0
3193,Defender,Ghana,Daniel Opare,,adidas X Crazyfast Elite,33,174,0
3194,Forward,Ghana,Daniel Owusu,,,21,183,0
3195,Defender,Switzerland,Daniel Pavlović,,Nike Hypervenom Phinish,36,184,0
3196,Goalkeeper,Israel,Daniel Peretz,Bayern München,Puma Future 7 Ultimate,24,190,0
3197,Forward,Venezuela,Daniel Pérez,,Nike Mercurial Vapor XIII Elite,22,190,0
3198,Defender,Spain,Daniel Pinillos,,Nike Mercurial Vapor 15 Elite,31,182,0
3199,Forward,Portugal,Daniel Podence,,Nike Mercurial Vapor 16 Elite,28,170,0
3200,Midfielder,Spain,Daniel Provencio,,,36,182,0
3201,Defender,Czech Republic,Daniel Pudil,,Nike Phantom GX 2 Elite,38,185,0
3202,Midfielder,-,Daniel Samek,,,20,184,0
3203,Goalkeeper,Japan,Daniel Schmidt,KAA Gent,Puma Future 7 Ultimate,32,197,0
3204,Defender,Germany,Daniel Schwaab,,adidas Predator Elite,36,186,0
3205,Defender,Croatia,Daniel Stefulj,,,24,186,0
3206,Defender,United States,Daniel Steres,,adidas Predator Elite,33,183,0
3207,Forward,England,Daniel Sturridge,,Nike Hypervenom,35,188,0
3208,Goalkeeper,Germany,Daniel Thur,,,26,180,0
3209,Midfielder,Colombia,Daniel Torres,,adidas X Crazyfast Elite,34,183,0
3210,Midfielder,Hungary,Dániel Tőzsér,,adidas X 15.1 Leather,39,188,0
3211,Forward,-,Daniel Vasulin,FC Viktoria Plzeň,,26,195,0
3212,Midfielder,Slovenia,Daniel Vujcic,,,29,177,0
3213,Midfielder,Denmark,Daniel Wass,Brøndby IF,adidas X Crazyfast Elite,35,178,0
3214,Midfielder,Ghana,Daniel-Kofi Kyereh,SC Freiburg,Nike Mercurial Vapor 15 Elite,28,179,0
3215,Midfielder,Italy,Daniele Altobelli,,,31,188,0
3216,Midfielder,Italy,Daniele Baselli,,Nike Mercurial Vapor 14 Elite,32,182,0
3217,Defender,Italy,Daniele Bonera,,Nike Tiempo Legend 10 Elite,43,183,0
3218,Midfielder,Italy,Daniele Buzzegoli,,,41,179,0
3219,Forward,Italy,Daniele Cacia,,Nike Tiempo Legend 10 Elite,41,181,0
3220,Defender,Italy,Daniele Capelli,,adidas Predator Elite,38,184,0
3221,Defender,Italy,Daniele Celiento,,,30,175,0
3222,Midfielder,Italy,Daniele Conti,,Nike Tiempo Legend 10 Elite,45,178,0
3223,Midfielder,Italy,Daniele Croce,,Nike Magista Opus,41,175,0
3224,Midfielder,Italy,Daniele De Rossi,,adidas Copa Mundial,41,184,0
3225,Midfielder,Italy,Daniele Dessena,,adidas Copa Pure 2 Elite,37,182,0
3226,Midfielder,Italy,Daniele Galloppa,,Nike Tiempo Legend 10 Elite,39,181,0
3227,Defender,Italy,Daniele Gasparetto,,,36,195,0
3228,Defender,Italy,Daniele Gastaldello,,Mizuno Basara 101,41,185,0
3229,Defender,Italy,Daniele Ghilardi,Hellas Verona,Nike Phantom GX Elite DF,21,189,0
3230,Midfielder,Italy,Daniele Giorico,,,32,178,0
3231,Defender,Italy,Daniele Mignanelli,S.P.A.L. 2013,,31,185,0
3232,Forward,Italy,Daniele Montevago,,adidas X Crazyfast Elite LL,21,184,0
3233,Goalkeeper,Italy,Daniele Padelli,Udinese Calcio,adidas Predator Elite,38,191,0
3234,Forward,Italy,Daniele Paponi,,Nike Mercurial Superfly 9 Elite,36,182,0
3235,Defender,Italy,Daniele Portanova,,Puma Ultra 1.1,45,185,0
3236,Forward,Italy,Daniele Ragatzu,,Nike Mercurial Vapor 15 Elite,32,172,0
3237,Defender,Italy,Daniele Rugani,Ajax Amsterdam,Nike Mercurial Vapor 15 Elite,30,190,0
3238,Defender,Italy,Daniele Sarzi,,,28,185,0
3239,Goalkeeper,Italy,Daniele Sommariva,Genoa CFC,,27,185,0
3240,Forward,Italy,Daniele Verde,US Salernitana 1919,adidas Copa Pure 2 Elite KT,28,168,0
3241,Midfielder,Latvia,Daniels Ontuzans,,,24,173,0
3242,Midfielder,Russia,Daniil Fomin,,Nike Mercurial Vapor 15 Elite,27,187,0
3243,Goalkeeper,Russia,Daniil Khudyakov,SK Sturm Graz,,20,194,0
3244,Midfielder,Russia,Daniil Kulikov,,adidas Nemeziz.1,26,178,0
3245,Goalkeeper,Russia,Daniil Odoevskiy,FK Rostov,Puma Ultra Ultimate,21,190,0
3246,Midfielder,Russia,Daniil Shamkin,,adidas X Crazyfast Elite,22,187,0
3247,Midfielder,Russia,Daniil Utkin,FK Rostov,Nike Phantom GX 2 Elite,24,183,0
3248,Midfielder,Serbia,Danijel Aleksic,,Nike Mercurial Vapor 14 Elite,33,182,0
3249,Midfielder,Bosnia and Herzegovina,Danijel Milicevic,,,38,171,0
3250,Goalkeeper,Montenegro,Danijel Petkovic,,adidas Nemeziz.1,31,196,0
3251,Midfielder,Croatia,Danijel Pranjić,,Nike Tiempo Legend 10 Elite,42,172,0
3252,Goalkeeper,Croatia,Danijel Subašić,,Nike Tiempo Legend VII Elite,39,191,0
3253,Goalkeeper,Croatia,Danijel Zagorac,GNK Dinamo Zagreb,Nike Mercurial Vapor 15 Elite,37,186,0
3254,Forward,Kazakhstan,Danil Ankudinov,,,21,188,0
3255,Midfielder,Russia,Danil Glebov,FK Rostov,adidas Predator Elite FT,24,178,0
